기관분류,기관명,접근성,링크,재생목록,채널,설명,가입일,최근 업로드,기준,업로드 기간,동영상 개수,평균 조회수,조회수,구독자
지역문화재단,전남문화관광재단,2,0,7,1,1,2016-02-24,2021-07-08,2021-07-15,7,340,54,49500,390
지역문화재단,전북문화관광재단,2,1,5,0,1,2018-01-17,2021-07-06,2021-07-15,9,339,96,36200,744
지역문화재단,경남문화예술진흥원,2,1,9,1,1,2019-02-14,2021-06-30,2021-07-15,15,121,244,41500,735
지역문화재단,제주문화예술재단,1,1,9,0,1,2020-11-05,2021-06-03,2021-07-15,42,122,40,9128,183
지역문화재단,경북문화재단,1,0,0,1,0,2020-03-06,2021-04-19,2021-07-15,87,29,141,4813,158
지역문화재단,중구문화재단,2,1,6,2,1,2020-04-23,2021-07-15,2021-07-15,0,59,207,11000,153
지역문화재단,구로문화재단,1,0,6,0,1,2012-06-05,2021-07-09,2021-07-15,6,44,354,18900,661
지역문화재단,마포문화재단,2,1,9,0,1,2020-06-05,2021-07-12,2021-07-15,3,93,291,66600,2300
지역문화재단,강남문화재단,2,1,12,0,0,2020-06-10,2021-07-12,2021-07-15,3,182,54,39400,849
지역문화재단,성북문화재단,1,1,12,0,0,2013-12-17,2021-07-15,2021-07-15,0,378,213,130500,1100
지역문화재단,영등포문화재단,1,1,20,0,1,2020-02-02,2021-07-14,2021-07-15,1,281,139,50100,1480
지역문화재단,종로문화재단,2,1,22,0,1,2019-02-11,2021-07-05,2021-07-15,10,314,135,229500,1330
지역문화재단,서초문화재단,2,1,24,2,1,2017-04-12,2021-07-07,2021-07-15,8,168,1387,150100,1420
지역문화재단,성동문화재단,2,0,8,1,0,2017-08-04,2021-06-28,2021-07-15,17,111,130,31900,1140
지역문화재단,광진문화재단,2,1,11,2,1,2020-02-06,2021-07-05,2021-07-15,10,52,163,9794,161
지역문화재단,강북문화재단,2,0,7,0,0,2018-05-30,2021-07-07,2021-07-15,8,41,449,27900,342
지역문화재단,도봉문화재단,2,1,18,0,1,2017-11-24,2021-07-04,2021-07-15,11,279,222,51500,비공개
지역문화재단,은평문화재단,1,1,7,0,0,2020-02-14,2021-06-17,2021-07-15,28,70,351,23700,831
지역문화재단,금천문화재단,1,1,10,0,1,2019-08-26,2021-07-13,2021-07-15,2,153,187,44900,550
지역문화재단,동대문문화재단,2,1,6,0,0,2020-06-26,2021-07-14,2021-07-15,1,44,75,3644,58
지역문화재단,동작문화재단,2,0,15,0,1,2019-02-08,2021-07-13,2021-07-15,2,132,18,34900,488
지역문화재단,노원문화재단,2,0,9,1,0,2019-09-24,2021-06-14,2021-07-15,31,132,396,62300,508
